Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1758630447,10,,Aggregated,8.500000,1.500000,170,200,220,240,290,1700,3500,3700,3800,3800,3800,334,57,160.0,306.8357377245459,103.47319999709725,3787.0339000364766,51.9940119760479
1758630448,10,,Aggregated,8.400000,1.400000,170,200,220,240,290,1700,3500,3700,3800,3800,3800,347,58,170.0,301.973702593355,103.47319999709725,3787.0339000364766,52.20749279538905
1758630449,10,,Aggregated,8.900000,1.300000,170,200,220,240,290,1700,2700,3700,3800,3800,3800,355,58,170.0,299.3585425347064,103.47319999709725,3787.0339000364766,52.219718309859154
1758630450,10,,Aggregated,9.700000,1.400000,170,200,220,240,290,410,2700,3700,3800,3800,3800,367,60,170.0,295.73166076276624,103.47319999709725,3787.0339000364766,52.49591280653951
1758630451,10,,Aggregated,9.300000,1.300000,160,200,220,240,290,410,2700,3700,3800,3800,3800,379,61,160.0,290.5097189976767,103.47319999709725,3787.0339000364766,52.577836411609496
1758630452,10,,Aggregated,9.900000,1.300000,160,200,210,240,290,410,2700,3700,3800,3800,3800,389,63,160.0,286.40492056564676,103.38069999124855,3787.0339000364766,52.62724935732648
1758630453,10,,Aggregated,10.100000,1.100000,140,190,210,230,290,390,2700,3600,3800,3800,3800,408,64,140.0,279.0177740198309,103.38069999124855,3787.0339000364766,53.03186274509804
1758630454,10,,Aggregated,10.200000,1.300000,140,190,210,230,290,390,2700,3600,3800,3800,3800,420,64,140.0,274.80714619104265,103.38069999124855,3787.0339000364766,53.12380952380953
1758630455,10,,Aggregated,10.700000,1.200000,140,190,210,230,290,370,2700,3600,3800,3800,3800,429,64,140.0,271.93032750682926,103.38069999124855,3787.0339000364766,53.08857808857809
1758630456,10,,Aggregated,11.500000,1.100000,140,190,210,220,280,370,2700,3600,3800,3800,3800,436,66,140.0,269.4661704136631,103.38069999124855,3787.0339000364766,53.11009174311926
1758630457,10,,Aggregated,11.800000,0.900000,140,190,210,220,280,370,1900,3600,3800,3800,3800,457,67,140.0,263.0950684908317,103.38069999124855,3787.0339000364766,53.354485776805255
1758630458,10,,Aggregated,11.800000,0.900000,140,190,210,220,280,370,1900,3600,3800,3800,3800,459,67,140.0,262.4710089332284,103.38069999124855,3787.0339000364766,53.305010893246184
